0x90e8, 0xa003
0x1a3, 0x8a52
0x450a, 0xde24
0x247d, 0xdcb
0x4254, 0xd4af
0x523f, 0x90b7
0x3c01, 0x4888
0xb8c3, 0x2550
0xe5e7, 0xafb7
0x5d52, 0x83b1
0x58bd, 0xcb6
0x2d8c, 0xef81
0xff28, 0xff7d
0x6bc, 0xb859
0x2c3d, 0x2535
0x840f, 0xf60a
0x3130, 0x36bb
0x7138, 0x21c4
0xeb0d, 0x7448
0x6733, 0x18c9
0x498c, 0xee8
0xe77c, 0xea2c
0xb8b4, 0xbe94
0xe8e5, 0x2bbc
0x2d5d, 0xda56
0x7892, 0x7eb2
0xed50, 0x6575
0x8ee7, 0x643f
0x7eae, 0x8c42
0x4646, 0xfbec
0xa5e6, 0xb541
0x1ee4, 0xe64c
0xe1b7, 0x6afe
0x2ad7, 0xa89
0xa312, 0xad41
0x9b3e, 0xc913
0x9db8, 0xd34f
0x1fd0, 0x4a57
0x6251, 0x72b4
0xaffc, 0xc4d0
0xe090, 0x4c12
0xcc36, 0x2c47
0xd8ea, 0x4b30
0x9afa, 0x8ab1
0x3198, 0x53f1
0x5fef, 0x142c
0x8624, 0x26eb
0x6b7b, 0x5e97
0xbe21, 0xb821
0xe1ce, 0x91fb
0x8ff5, 0xbc77
0x9826, 0xbb84
0x1907, 0x1489
0x8512, 0x8101
0xb13, 0x6660
0x314b, 0x594e
0x184d, 0x3e48
0xdcdd, 0xdc08
0x164f, 0x5c1c
0x808a, 0xd669
0x8c9, 0x3d33
0xa74e, 0xd0ee
0x2b8d, 0xe6ed
0x19d5, 0xd989
0x6927, 0xd5c7
0xde7b, 0xe59b
0x7582, 0x73e2
0x5db9, 0x6114
0x33ee, 0x5da9
0x86d6, 0xf404
0x55d5, 0xda24
0x2f9c, 0xe3f8
0xe7bd, 0x2ccc
0xc1da, 0xc582
0xe341, 0x1525
0xc449, 0xf4ba
0x4fc3, 0xafb2
0xe0b0, 0x9627
0x550b, 0x1f80
0x510, 0x854e
0x8f2d, 0xd725
0x9ccc, 0x3da6
0xa585, 0xf5e7
0xefe3, 0x4299
0x628, 0x667d
0xe96, 0x8cdb
0xdf98, 0x33d0
0x94c9, 0x5ba6
0x4c29, 0x49b0
0x4ea3, 0x55e4
0x20f8, 0x51d1
0xc4eb, 0x31c7
0xfc45, 0x1ce3
